Id,Source,Target,Type,Weight,SourceLat,SourceLong,TargetLat,TargetLong,EdgeLength,EdgeBearing,TrueEdgeBearing
168,148,149,Directed,1,32.295304,-90.20476,32.294665,-90.204824,233.9636458,-175.1606824,185
169,149,151,Directed,1,32.294665,-90.204824,32.294411,-90.204819,92.68077884,179.046684,179
170,151,152,Directed,1,32.294411,-90.204819,32.294139,-90.204808,99.29344634,178.0420723,178
171,152,153,Directed,1,32.294139,-90.204808,32.294139,-90.203923,272.9352515,89.99976359,90
172,153,49,Directed,1,32.294139,-90.203923,32.29418,-90.203639,88.85400997,80.30824617,80
173,151,47,Directed,1,32.294411,-90.204819,32.294447,-90.204701,38.68835612,70.15479556,70
174,149,150,Directed,1,32.294665,-90.204824,32.294669,-90.205141,97.77408906,-89.14470232,271
175,150,36,Directed,1,32.294669,-90.205141,32.294511,-90.205146,57.66459705,-178.4676797,182
176,144,145,Directed,1,32.296048,-90.204438,32.2953,-90.204502,273.6094819,-175.8632503,184
177,154,155,Directed,1,32.295322,-90.204116,32.295309,-90.203794,99.41746615,92.73434208,93
178,155,156,Directed,1,32.295309,-90.203794,32.295381,-90.203456,107.4967707,75.85581332,76
179,156,158,Directed,1,32.295381,-90.203456,32.295477,-90.203306,58.02271099,52.86973492,53
180,158,157,Directed,1,32.295477,-90.203306,32.294647,-90.201707,578.6809659,121.5522238,122
181,157,25,Directed,1,32.294647,-90.201707,32.294552,-90.201686,35.25721484,169.415851,169
182,157,159,Directed,1,32.294647,-90.201707,32.295046,-90.201568,151.7499881,16.408683,16
183,159,10,Directed,1,32.295046,-90.201568,32.295046,-90.201235,102.6961846,89.99991104,90
184,159,174,Directed,1,32.295046,-90.201568,32.295604,-90.201568,203.5779605,0,0
185,174,6,Directed,1,32.295604,-90.201568,32.295604,-90.201455,34.84894725,89.99996981,90
186,174,173,Directed,1,32.295604,-90.201568,32.295821,-90.201568,79.16911606,0,0
187,173,7,Directed,1,32.295821,-90.201568,32.295821,-90.201783,66.30424903,-89.99994256,270
188,173,160,Directed,1,32.295821,-90.201568,32.296161,-90.201568,124.043696,0,0
189,160,11,Directed,1,32.296161,-90.201568,32.296161,-90.201654,26.5221386,-89.99997703,270
190,127,112,Directed,1,32.299594,-90.211106,32.299594,-90.210645,142.1642593,89.99987683,90
191,112,111,Directed,1,32.299594,-90.210645,32.299403,-90.210441,93.88005143,137.9242933,138
192,111,110,Directed,1,32.299403,-90.210441,32.299204,-90.210628,92.7184582,-141.5399262,218
193,110,119,Directed,1,32.299204,-90.210628,32.299204,-90.211106,147.4079437,-89.99987229,270
194,112,113,Directed,1,32.299594,-90.210645,32.299789,-90.210183,159.2474148,63.46489882,63
195,113,114,Directed,1,32.299789,-90.210183,32.299598,-90.209776,143.5578735,119.0387452,119
196,110,115,Directed,1,32.299204,-90.210628,32.298728,-90.210221,214.2702641,144.1426474,144
197,116,115,Directed,1,32.298728,-90.211106,32.298728,-90.210221,272.9213873,89.99976356,90
198,115,117,Directed,1,32.298728,-90.210221,32.298569,-90.210232,58.10876406,-176.6532599,183
199,117,120,Directed,1,32.298569,-90.210232,32.298569,-90.209813,129.2144386,89.99988806,90
200,120,121,Directed,1,32.298569,-90.209813,32.298569,-90.208746,329.0480911,89.99971493,90
201,114,115,Directed,1,32.299598,-90.209776,32.298728,-90.210221,345.8024515,-156.618612,203
202,96,33,Directed,1,32.296415,-90.206788,32.296306,-90.206782,39.80941655,177.3359448,177
203,82,35,Directed,1,32.295699,-90.207764,32.295554,-90.207758,52.93350019,177.9967211,178
204,170,21,Directed,1,32.296415,-90.205312,32.296415,-90.205189,37.93238174,89.99996714,90
205,163,55,Directed,1,32.297159,-90.213681,32.2972,-90.213209,146.3271657,84.13257903,84
206,56,55,Directed,1,32.296905,-90.213209,32.2972,-90.213209,107.6266631,0,0
207,57,56,Directed,1,32.296501,-90.213209,32.296905,-90.213209,147.3934626,0,0
208,60,57,Directed,1,32.296266,-90.213209,32.296501,-90.213209,85.73640169,0,0
209,58,60,Directed,1,32.296098,-90.213209,32.296266,-90.213209,61.29248244,0,0
210,59,58,Directed,1,32.295699,-90.213209,32.296098,-90.213209,145.5693125,0,0
211,164,59,Directed,1,32.295622,-90.213595,32.295699,-90.213209,122.310805,76.72166912,77
212,61,60,Directed,1,32.296207,-90.212361,32.296266,-90.213209,262.402744,-85.29442685,275
213,62,61,Directed,1,32.29651,-90.212184,32.296207,-90.212361,123.2877663,-153.7204077,206
214,161,62,Directed,1,32.296683,-90.212238,32.29651,-90.212184,65.27635111,165.2194037,165
215,32,62,Directed,1,32.296569,-90.212393,32.29651,-90.212184,67.95409612,108.4673378,108
216,29,55,Directed,1,32.297218,-90.213085,32.2972,-90.213209,38.80229479,-99.7443225,260
217,23,163,Directed,1,32.297286,-90.213686,32.297159,-90.213681,46.35818265,178.0939533,178
218,5,56,Directed,1,32.2969,-90.21301,32.296905,-90.213209,61.39765951,-88.29737438,272
219,4,57,Directed,1,32.296524,-90.213085,32.296501,-90.213209,39.15079558,-102.3762909,258
220,19,58,Directed,1,32.296102,-90.21301,32.296098,-90.213209,61.38817725,-91.36213708,269
221,2,59,Directed,1,32.295712,-90.213085,32.295699,-90.213209,38.53381566,-97.06998229,263
222,42,164,Directed,1,32.295749,-90.213579,32.295622,-90.213595,46.59616471,-173.9212071,186
223,162,161,Directed,1,32.297145,-90.211567,32.296683,-90.212238,266.8908675,-129.1640786,231
224,99,162,Directed,1,32.297472,-90.211551,32.297145,-90.211567,119.4034688,-177.6316147,182
225,98,162,Directed,1,32.297349,-90.21132,32.297145,-90.211567,106.4965765,-134.3356525,226
226,63,62,Directed,1,32.29651,-90.21132,32.29651,-90.212184,266.4517203,-89.99976918,270
227,63,162,Directed,1,32.29651,-90.21132,32.297145,-90.211567,243.872023,-18.20071599,342
228,63,98,Directed,1,32.29651,-90.21132,32.297349,-90.21132,306.0966869,0,0
229,64,63,Directed,1,32.296374,-90.211186,32.29651,-90.21132,64.57323325,-39.78966858,320
230,65,64,Directed,1,32.296374,-90.210398,32.296374,-90.211186,243.0139468,-89.99978949,270
231,180,65,Directed,1,32.297544,-90.210398,32.296374,-90.210398,426.857293,180,180
232,66,65,Directed,1,32.296374,-90.209808,32.296374,-90.210398,181.951976,-89.99984238,270
233,68,66,Directed,1,32.296374,-90.20947,32.296374,-90.209808,104.2368799,-89.9999097,270
234,69,68,Directed,1,32.296374,-90.209207,32.296374,-90.20947,81.10745782,-89.99992974,270
235,67,66,Directed,1,32.296247,-90.209872,32.296374,-90.209808,50.36269271,23.07282641,23
236,48,67,Directed,1,32.296157,-90.209888,32.296247,-90.209872,33.2051273,8.546174096,9
237,70,69,Directed,1,32.296452,-90.208906,32.296374,-90.209207,97.08996625,-107.0435185,253
238,31,70,Directed,1,32.296261,-90.20896,32.296452,-90.208906,71.64465437,13.44067256,13
239,71,70,Directed,1,32.296442,-90.208515,32.296452,-90.208906,120.6374841,-88.26686937,272
240,40,71,Directed,1,32.296325,-90.208612,32.296442,-90.208515,52.12355911,35.02276832,35
241,81,71,Directed,1,32.295839,-90.208515,32.296442,-90.208515,219.9956421,0,0
242,167,81,Directed,1,32.295839,-90.208799,32.295839,-90.208515,87.58428354,89.99992413,90
243,45,167,Directed,1,32.295839,-90.208912,32.295839,-90.208799,34.84755516,89.99996981,90
244,72,71,Directed,1,32.296873,-90.208515,32.296442,-90.208515,157.2440378,180,180
245,73,72,Directed,1,32.296873,-90.208778,32.296873,-90.208515,81.10626157,89.99992974,90
246,12,73,Directed,1,32.296764,-90.208778,32.296873,-90.208778,39.76674248,0,0
247,74,72,Directed,1,32.297544,-90.208515,32.296873,-90.208515,244.8043876,180,180
248,44,165,Directed,1,32.297776,-90.210682,32.297544,-90.210671,84.70949958,177.7049191,178
249,24,165,Directed,1,32.2971,-90.210666,32.297544,-90.210671,161.994059,-0.545380464,359
250,100,99,Directed,1,32.297658,-90.21153,32.297472,-90.211551,68.16792774,-174.5484622,185
251,104,100,Directed,1,32.297748,-90.211766,32.297658,-90.21153,79.84517209,114.282813,114
252,43,104,Directed,1,32.29788,-90.211776,32.297748,-90.211766,48.25732592,176.3359772,176
253,105,104,Directed,1,32.297658,-90.212174,32.297748,-90.211766,130.0374057,75.37396792,75
254,106,105,Directed,1,32.2991,-90.212211,32.297658,-90.212174,526.21623,178.7575083,179
255,107,106,Directed,1,32.298809,-90.212645,32.2991,-90.212211,170.8339259,51.57687305,52
256,18,107,Directed,1,32.298737,-90.212656,32.298809,-90.212645,26.48736265,7.358390511,7
257,108,106,Directed,1,32.299258,-90.211728,32.2991,-90.212211,159.7143416,-111.1564771,249
258,38,108,Directed,1,32.299417,-90.211739,32.299258,-90.211728,58.10709434,176.6532853,177
259,109,108,Directed,1,32.299204,-90.21132,32.299258,-90.211728,127.3535086,-81.10072812,279
260,119,109,Directed,1,32.299204,-90.211106,32.299204,-90.21132,65.99403228,-89.99994283,270
261,119,106,Directed,1,32.299204,-90.211106,32.2991,-90.212211,342.8706265,-96.35320643,264
262,118,119,Directed,1,32.298982,-90.211106,32.299204,-90.211106,80.9937353,0,0
263,116,118,Directed,1,32.298728,-90.211106,32.298982,-90.211106,92.66821564,0,0
264,103,116,Directed,1,32.298333,-90.211106,32.298728,-90.211106,144.1096605,0,0
265,102,103,Directed,1,32.297844,-90.211106,32.298333,-90.211106,178.4044104,0,0
266,101,109,Directed,1,32.297839,-90.21132,32.299204,-90.21132,498.0001535,0,0
267,100,101,Directed,1,32.297658,-90.21153,32.297839,-90.21132,92.49215174,44.44210454,44
268,102,101,Directed,1,32.297844,-90.211106,32.297839,-90.21132,66.02049045,-91.58325552,268
269,165,102,Directed,1,32.297544,-90.210671,32.297844,-90.211106,173.1342277,-50.78934637,309
270,165,98,Directed,1,32.297544,-90.210671,32.297349,-90.21132,212.4133901,-109.5679121,250
271,180,165,Directed,1,32.297544,-90.210398,32.297544,-90.210671,84.19019921,-89.99992707,270
